epoch,acc,loss,lr
0,0.604953186673,1.04891889958,0.001
1,0.856840833891,0.439173898986,0.001
2,0.877076412284,0.378185324657,0.001
3,0.904560556029,0.273841170612,0.001
4,0.908788885893,0.275433565691,0.001
5,0.92117185171,0.233589688049,0.001
6,0.933554817564,0.197735187822,0.001
7,0.939293265163,0.170048570919,0.001
8,0.942615524317,0.160185212619,0.001
9,0.939595288757,0.161292011916,0.001
10,0.950770160072,0.137960156871,0.001
11,0.957716701903,0.123298282461,0.001
12,0.967381455754,0.0952514599726,0.001
13,0.950770160361,0.129715489058,0.001
14,0.960132890671,0.109521889423,0.001
15,0.961038961039,0.105391533116,0.001
16,0.962549079116,0.096536124875,0.001
17,0.958018725785,0.103628792418,0.001
18,0.958018725767,0.105923290059,0.001
19,0.954998489882,0.117585810282,0.001
20,0.956810631517,0.118077816705,0.001
21,0.961340984597,0.0980864055623,0.001
22,0.965569314695,0.0863664784876,0.001
23,0.95922681998,0.100194191259,0.001
24,0.957716702209,0.103627073126,0.001
25,0.959226819998,0.10342183241,0.001
26,0.961038961039,0.0936006069343,0.001
27,0.961340984597,0.0847036034399,0.001
28,0.963757173059,0.0905212061852,0.001
29,0.965569314713,0.0872310981699,0.001
30,0.960132890365,0.101218595585,0.001
31,0.965267290849,0.0847978300871,0.001
32,0.96224705527,0.0950537164831,0.001
33,0.967381455754,0.0852896069075,0.001
34,0.963455149502,0.090661908119,0.001
35,0.964361220175,0.0888217341403,0.001
36,0.971609785851,0.0683144478869,0.001
37,0.967079432196,0.0771031663469,0.001
38,0.958924796134,0.112668581248,0.001
39,0.964059196617,0.0911259910804,0.001
40,0.961945032001,0.0897735978793,0.001
41,0.958924796422,0.10147681358,0.001
42,0.971005738736,0.0729559237265,0.001
43,0.967683479311,0.0785581359191,0.001
44,0.962549078828,0.0857538795011,0.001
45,0.969797644216,0.0723657525933,0.001
46,0.97040169162,0.0640425903173,0.001
47,0.969495620964,0.0726107768475,0.001
48,0.967683479311,0.0823505428151,0.001
49,0.967985503157,0.0764118217425,0.001
50,0.964361220175,0.100177846289,0.001
51,0.968891573849,0.0780672111074,0.001
52,0.96647538508,0.0851097011665,0.001
53,0.970099667774,0.0772148430802,0.001
54,0.969495620946,0.0736412375906,0.001
55,0.97463002143,0.0659980338272,0.001
56,0.976140138931,0.0584942092219,0.001
57,0.963455149826,0.0881943141795,0.001
58,0.968589549985,0.0849457370327,0.001
59,0.968589550273,0.0805898413713,0.001
60,0.970099668062,0.0718788619039,0.001
61,0.970099667774,0.0669922993278,0.001
62,0.971911809121,0.0735830833562,0.001
63,0.964965267291,0.0880778368427,0.001
64,0.96647538508,0.0842439019988,0.001
65,0.971005738736,0.0840548675862,0.001
66,0.971005738736,0.0742705537513,0.001
67,0.974025974314,0.0669514944326,0.001
68,0.973723950468,0.0623639217766,0.001
69,0.974932044699,0.0597238325904,0.001
70,0.974932044699,0.0589034867464,0.001
71,0.972515856237,0.0596491834062,0.001
72,0.967985503175,0.0752181547359,0.001
73,0.956810631517,0.129741934143,0.001
74,0.959528843592,0.115239203036,0.001
75,0.965569314695,0.0945913002336,0.001
76,0.969193597407,0.0782269519233,0.001
77,0.973119903352,0.0695708661508,0.001
78,0.972515856237,0.0666904627618,0.001
79,0.969193597407,0.072209296658,0.001
80,0.971005738448,0.0669741888966,0.001
81,0.973119903352,0.0630791254675,0.001
82,0.974025974026,0.0598771980487,0.001
83,0.967985503157,0.0777600398569,0.001
84,0.970099667774,0.0675013504265,0.001
85,0.968589550309,0.0787477727387,0.001
86,0.970401691638,0.0682711507445,0.001
87,0.970099667774,0.0758203620527,0.001
88,0.971911809427,0.0724385774457,0.001
89,0.97342192691,0.0647086533547,0.001
90,0.974025974026,0.0657563290038,0.001
91,0.974630021448,0.0597618775817,0.001
92,0.971609785887,0.0704972405013,0.001
93,0.972817880083,0.0677464787606,0.001
94,0.974932044988,0.0594803697755,0.001
95,0.967381456042,0.086046949888,0.001
96,0.967381456042,0.0787684161199,0.001
97,0.974327997872,0.062872838829,0.001
98,0.970401691332,0.0726278843217,0.001
99,0.974932044699,0.0599265334311,0.001
100,0.969495620964,0.0726651312597,0.001
101,0.970703715178,0.0695395101124,0.001
102,0.969797644216,0.0732297619914,0.001
103,0.973723950756,0.0686041072613,0.001
104,0.971911809427,0.0659098065004,0.001
105,0.969797644216,0.0698707939495,0.001
106,0.972213832967,0.0634180646666,0.001
107,0.970401691332,0.0666896387096,0.001
108,0.973723950468,0.0654451195406,0.001
109,0.973119903352,0.0622087250411,0.001
110,0.971307762293,0.0669932401291,0.001
111,0.967985503157,0.0808219693143,0.001
112,0.972515856237,0.072180703936,0.001
113,0.97040169162,0.070322782174,0.001
114,0.971307762293,0.0668324971446,0.001
115,0.968891573543,0.0926168436488,0.001
116,0.977348233162,0.0578706225601,0.001
117,0.970703715214,0.0755606700101,0.001
118,0.972515856543,0.0709719388639,0.001
119,0.97432799789,0.0625724788304,0.001
120,0.972817879795,0.0695998688108,0.001
121,0.968589549985,0.0742791873159,0.001
122,0.970099667774,0.0719404379711,0.001
123,0.97070371489,0.0630061804821,0.001
124,0.971609785887,0.0627196956413,0.001
125,0.967079432484,0.0867494757859,0.001
126,0.972213832985,0.066030323415,0.001
127,0.975234068563,0.0583561365109,0.001
128,0.973421927234,0.0596645254671,0.001
129,0.974025974314,0.063723659219,0.001
130,0.974025974026,0.0655996196544,0.001
131,0.969495620982,0.0751021452736,0.001
132,0.971911809445,0.0771946181801,0.001
133,0.971609785851,0.0652334245906,0.001
134,0.973723950468,0.0600268277545,0.001
135,0.976442162489,0.056786169402,0.001
136,0.974630021142,0.0607255610279,0.001
137,0.974630021142,0.0581213605146,0.001
138,0.971005738448,0.0658710163422,0.001
139,0.971911809409,0.0720462596748,0.001
140,0.972213833003,0.0666639736012,0.001
141,0.971307762005,0.0777908350791,0.001
142,0.97342192691,0.0604628988313,0.001
143,0.971005738736,0.0792124203472,0.001
144,0.971005738448,0.0701339642266,0.001
145,0.973723950468,0.0639599405826,0.001
146,0.973723950468,0.0565550172086,0.001
147,0.978254304124,0.0540004074721,0.001
148,0.972515856525,0.0657277084592,0.001
149,0.962247055558,0.101751584864,0.001
150,0.972213832679,0.0690519585597,0.001
151,0.971307762293,0.0669751958451,0.001
152,0.972817880119,0.0642810712767,0.001
153,0.976744186335,0.0587739097015,0.001
154,0.974025974314,0.0546165582555,0.001
155,0.977046209892,0.0555394786081,0.001
156,0.97765025672,0.0577183616686,0.001
157,0.973723950756,0.0691260130852,0.001
158,0.970401691332,0.0797690624253,0.001
159,0.975838115373,0.0585658362995,0.001
160,0.976442162489,0.0550960536317,0.001
161,0.971307762329,0.0775812029214,0.001
162,0.971307762293,0.0805410733369,0.001
163,0.974630021142,0.0660335065354,0.001
164,0.976140139219,0.0546346211321,0.001
165,0.974932044988,0.0616879841766,0.001
166,0.975536091815,0.0570918555028,0.001
167,0.973723950468,0.0576501883381,0.001
168,0.976140139219,0.0543665598791,0.001
169,0.974932044988,0.0604748239623,0.001
170,0.970099668062,0.0736814782696,0.001
171,0.969495620658,0.0909901195339,0.001
172,0.971911809121,0.0739246545714,0.001
173,0.971911809121,0.0630834038193,0.001
174,0.971911809409,0.0691880292967,0.001
175,0.97311990364,0.0708428802346,0.001
176,0.972817879795,0.0655510167053,0.001
177,0.974025974026,0.0732152137449,0.001
178,0.971911809409,0.0662523909146,0.001
179,0.973119903352,0.0729805068829,0.001
180,0.974932044699,0.0617379280334,0.001
181,0.974932044988,0.059336925234,0.001
182,0.971609785563,0.0713091502397,0.001
183,0.976442162489,0.0596347296841,0.001
184,0.974932044988,0.059675053216,0.001
185,0.969193597101,0.0809434151752,0.001
186,0.973723950792,0.0643360116696,0.001
187,0.972213832679,0.0803660868696,0.001
188,0.971911809409,0.0658768500591,0.001
189,0.974630021142,0.0641311917857,0.001
190,0.974932044699,0.0638029996134,0.001
191,0.975536092121,0.0635808807709,0.001
192,0.973421927198,0.0648257484429,0.001
193,0.973723950468,0.0618894455356,0.001
194,0.974932044988,0.0605144573693,0.001
195,0.974025974314,0.0615357024485,0.001
196,0.97342192691,0.0674194913085,0.001
197,0.975838115373,0.0606417989707,0.001
198,0.974327997584,0.0687992346345,0.001
199,0.974932045006,0.0642586564256,0.001
